task,scene,success,objects_moved,objects_total,failed_count,failed_json,duration_ms,llm_used,run_id,run_ts,is_event,file,scenario_type,obstacle_mode,success_count,failure_count,object_success_rate,no_obs_success_rate,obs_success_rate,static_success_rate,random_success_rate,failure_reason_counts_json,success_bool
align_tabung,group_no_obs,True,4,4,0,[],155143,False,align_tabung_group_no_obs_20260527_204857,2026-05-27 20:48:57,False,align_tabung_group_no_obs_20260527_204857.csv,static,no_obs,4.0,0.0,1.0,1.0,,1.0,,{},True
align_tabung,group_obs,False,1,4,3,"[{""object_id"": ""circle3"", ""stage"": ""precheck"", ""failure_reason"": ""object_near_obstacle_safety_skip"", ""obstacle_distance"": 0.1221, ""obstacle_status"": ""NEAR""}, {""object_id"": ""circle4"", ""stage"": ""precheck"", ""failure_reason"": ""object_near_obstacle_safety_skip"", ""obstacle_distance"": 0.15, ""obstacle_status"": ""NEAR""}, {""object_id"": ""circle2"", ""stage"": ""pick"", ""failure_reason"": ""object_displaced_below_table"", ""z"": 0.022, ""actual"": [-0.8854, 1.3265, 0.0216], ""attempts"": 3}]",94888,False,align_tabung_group_obs_20260527_205059,2026-05-27 20:50:59,False,align_tabung_group_obs_20260527_205059.csv,static,obs,1.0,3.0,0.25,,0.25,0.25,,"{""object_displaced_below_table"": 1, ""object_near_obstacle_safety_skip"": 2}",False
align_tabung,ungroup_no_obs,True,4,4,0,[],197557,False,align_tabung_ungroup_no_obs_20260527_205443,2026-05-27 20:54:43,False,align_tabung_ungroup_no_obs_20260527_205443.csv,static,no_obs,4.0,0.0,1.0,1.0,,1.0,,{},True
align_cubes,ungroup_no_obs,True,4,4,0,[],148365,False,align_cubes_ungroup_no_obs_20260527_205745,2026-05-27 20:57:45,False,align_cubes_ungroup_no_obs_20260527_205745.csv,static,no_obs,4.0,0.0,1.0,1.0,,1.0,,{},True
align_cubes,group_obs,False,1,4,3,"[{""object_id"": ""cube2"", ""stage"": ""precheck"", ""failure_reason"": ""object_near_obstacle_safety_skip"", ""obstacle_distance"": 0.1612, ""obstacle_status"": ""NEAR""}, {""object_id"": ""cube3"", ""stage"": ""precheck"", ""failure_reason"": ""object_near_obstacle_safety_skip"", ""obstacle_distance"": 0.172, ""obstacle_status"": ""NEAR""}, {""object_id"": ""cube1"", ""stage"": ""place"", ""failure_reason"": ""object_not_on_target_after_place"", ""actual"": [0.04, -0.395, 0.829]}]",38567,False,align_cubes_group_obs_20260527_215406,2026-05-27 21:54:06,False,align_cubes_group_obs_20260527_215406.csv,static,obs,1.0,3.0,0.25,,0.25,0.25,,"{""object_near_obstacle_safety_skip"": 2, ""object_not_on_target_after_place"": 1}",False
align_cubes,group_obs,False,2,4,2,"[{""object_id"": ""cube3"", ""stage"": ""pick"", ""failure_reason"": ""object_displaced_after_failed_pick"", ""z"": 0.829, ""actual"": [0.4088, 0.0422, 0.8294], ""attempts"": 1}, {""object_id"": ""cube1"", ""stage"": ""pick"", ""failure_reason"": ""obstacle_displaced"", ""error"": ""fatal obstacle displacement: obstacle1 during pick(cube1)"", ""attempts"": 2}]",127208,False,align_cubes_group_obs_20260527_220542,2026-05-27 22:05:42,False,align_cubes_group_obs_20260527_220542.csv,static,obs,2.0,2.0,0.5,,0.5,0.5,,"{""object_displaced_after_failed_pick"": 1, ""obstacle_displaced"": 1}",False
align_cubes,group_obs,False,3,4,1,"[{""object_id"": ""cube1"", ""stage"": ""pick"", ""failure_reason"": ""object_not_lifted_after_pick"", ""z"": 0.829, ""actual"": [-0.0293, -0.3198, 0.8294], ""attempts"": 3}]",163434,False,align_cubes_group_obs_20260527_221030,2026-05-27 22:10:30,False,align_cubes_group_obs_20260527_221030.csv,static,obs,3.0,1.0,0.75,,0.75,0.75,,"{""object_not_lifted_after_pick"": 1}",False
align_cubes,group_obs,True,4,4,0,[],104790,False,align_cubes_group_obs_20260527_221340,2026-05-27 22:13:40,False,align_cubes_group_obs_20260527_221340.csv,static,obs,4.0,0.0,1.0,,1.0,1.0,,{},True
align_tabung,group_obs,False,3,4,1,"[{""object_id"": ""circle2"", ""stage"": ""pick"", ""failure_reason"": ""object_displaced_after_failed_pick"", ""z"": 0.822, ""actual"": [0.3702, 0.5741, 0.8223], ""attempts"": 3}]",153984,False,align_tabung_group_obs_20260527_221630,2026-05-27 22:16:30,False,align_tabung_group_obs_20260527_221630.csv,static,obs,3.0,1.0,0.75,,0.75,0.75,,"{""object_displaced_after_failed_pick"": 1}",False
align_tabung,group_obs,True,4,4,0,[],163922,False,align_tabung_group_obs_20260527_221940,2026-05-27 22:19:40,False,align_tabung_group_obs_20260527_221940.csv,static,obs,4.0,0.0,1.0,,1.0,1.0,,{},True
align_cubes,ungroup_obs,True,4,4,0,[],203105,False,align_cubes_ungroup_obs_20260527_223420,2026-05-27 22:34:20,False,align_cubes_ungroup_obs_20260527_223420.csv,static,obs,4.0,0.0,1.0,,1.0,1.0,,{},True
align_tabung,ungroup_no_obs,True,4,4,0,[],195760,False,align_tabung_ungroup_no_obs_20260527_223807,2026-05-27 22:38:07,False,align_tabung_ungroup_no_obs_20260527_223807.csv,static,no_obs,4.0,0.0,1.0,1.0,,1.0,,{},True
